	RS.v 	RS.u	RS.I	CH.v	CH.u	CH.I	IB.v	IB.u	IB.I	FS.v	FS.u	FS.I	LTS.v	LTS.u	LTS.I
1118	-66.7128	-13.8455	-0.251936	-72.7205	-13.855	-1.40884	-69.0962	-13.773	-4.11024	-70.1051	-13.3113	-1.81191	-98.3323	31.6523	-0.724413
1119	-68.3428	-13.8355	-1.5655	-73.965	-13.8688	-4.27223	-66.4339	-13.774	6.06118	-71.5655	-13.291	-2.29557	-96.3178	31.9266	0.573193
1120	-74.506	-13.8355	-11.2773	-71.9419	-13.8688	1.16951	-63.7488	-13.774	7.22723	-70.7298	-13.291	1.34313	-96.0441	31.9266	2.97829
1121	-70.5084	-13.8568	4.64404	-76.7411	-13.8791	-10.7832	-64.6947	-13.7535	0.52189	-71.0635	-13.2843	-0.417605	-98.6594	32.1994	-2.06225
1122	-69.1718	-13.8568	2.50097	-71.7121	-13.8791	4.31646	-65.4398	-13.7535	0.813667	-72.2372	-13.2843	-2.31509	-96.4518	32.1994	0.564626
1123	-68.0418	-13.8563	2.87265	-72.167	-13.8884	-1.93334	-70.1953	-13.7402	-7.36031	-71.0774	-13.3065	1.49287	-98.2749	32.4741	-1.30577
1124	-67.269	-13.8563	2.71099	-68.6609	-13.8884	5.63572	-66.869	-13.7402	6.79373	-71.9363	-13.3065	-1.71725	-98.0811	32.4741	-2.08209
1125	-70.9204	-13.8483	-5.81889	-68.9117	-13.8853	0.341672	-67.3609	-13.7328	0.76257	-71.9759	-13.3209	-0.697497	-97.8294	32.7521	-1.41321
1126	-74.9768	-13.8483	-8.5472	-68.6574	-13.8853	1.22891	-69.0651	-13.7328	-1.83632	-70.4603	-13.3209	2.36867	-96.5662	32.7521	1.6018
1127	-74.4693	-13.8712	-2.81012	-72.0274	-13.8822	-5.89186	-69.287	-13.7344	0.34926	-71.1736	-13.3062	-1.03208	-97.8936	33.0296	-0.0729867
1128	-70.9518	-13.8712	3.68317	-69.2069	-13.8822	4.37798	-66.2604	-13.7344	6.72625	-71.6918	-13.3062	-1.10188	-95.6596	33.0296	3.63936
1129	-69.9486	-13.8776	1.52783	-69.576	-13.8814	-0.169664	-62.2218	-13.7248	10.0271	-70.708	-13.316	1.53179	-98.6241	33.3073	-0.631732
1130	-71.6758	-13.8776	-3.30117	-69.643	-13.8814	0.231818	-67.8588	-13.7248	-8.7518	-72.0617	-13.316	-2.46818	-96.413	33.3073	1.78161
1131	-72.9446	-13.8867	-3.5331	-73.1266	-13.8823	-6.63955	-67.3283	-13.7217	2.43744	-72.024	-13.3318	-0.647635	-97.5999	33.5874	1.1799
1132	-73.962	-13.8867	-4.03518	-74.9039	-13.8823	-5.70395	-69.8016	-13.7217	-3.35077	-71.1907	-13.3318	0.95659	-98.7217	33.5874	-1.6864
1133	-74.1298	-13.9049	-3.22744	-73.6682	-13.9043	-1.31518	-72.5228	-13.7265	-5.04661	-72.2222	-13.3297	-2.16604	-97.3566	33.8716	0.0870983
1134	-73.5413	-13.9049	-1.88789	-72.8679	-13.9043	-1.0428	-68.9429	-13.7265	5.66494	-72.1089	-13.3297	-0.633883	-98.2029	33.8716	-0.170363
1135	-73.2831	-13.9209	-2.0148	-76.5304	-13.9177	-9.27914	-61.9916	-13.7277	14.7657	-73.4839	-13.3449	-3.52299	-98.7456	34.1566	-1.95165
1136	-69.4803	-13.9209	5.28358	-72.334	-13.9177	2.8511	-58.2143	-13.7277	10.0666	-74.5076	-13.3449	-3.96814	-98.3596	34.1566	-1.37115
1137	-70.691	-13.9204	-2.04123	-69.4953	-13.9287	4.14134	-56.7255	-13.686	4.76513	-73.881	-13.4035	-1.60903	-96.3237	34.4431	3.042
1138	-72.2475	-13.9204	-3.46709	-68.926	-13.9287	1.50252	-54.209	-13.686	6.26299	-72.8501	-13.4035	-0.272899	-99.0575	34.4431	-0.536187
1139	-73.9893	-13.931	-4.95468	-71.2083	-13.9258	-3.89494	-53.0257	-13.6292	2.181	-72.6019	-13.4253	-0.94198	-98.1295	34.7319	-0.908962
1140	-72.768	-13.931	-0.518582	-75.2072	-13.9258	-8.70704	-50.2576	-13.6292	4.56661	-71.4364	-13.4253	1.0737	-99.3887	34.7319	-2.31506
1141	-69.998	-13.9435	3.64167	-68.7842	-13.9481	8.7112	-50.1377	-13.5576	-3.13439	-72.0226	-13.4184	-1.54192	-98.0176	35.0225	-0.707006
1142	-71.6705	-13.9435	-3.28725	-64.7619	-13.9481	8.76696	-49.8992	-13.5576	-2.94374	-71.4467	-13.4184	0.356193	-98.3304	35.0225	0.186936
1143	-72.2726	-13.9513	-2.26147	-64.704	-13.9282	2.213	-47.3065	-13.4861	1.52656	-71.6605	-13.4124	-0.797808	-98.0114	35.3132	0.557723
1144	-71.3919	-13.9513	0.239826	-67.6708	-13.9282	-3.80614	-38.5012	-13.4861	11.1407	-71.118	-13.4124	0.566067	-97.5197	35.3132	2.10429
1145	-71.73	-13.9578	-1.54001	-70.8235	-13.9203	-5.05312	-33.1022	-13.3703	-9.47562	-72.3468	-13.4009	-2.59096	-100.893	35.6044	-4.23876
1146	-66.318	-13.9578	9.70834	-67.6968	-13.9203	5.81191	-17.7275	-13.3703	-0.940215	-71.665	-13.4009	0.334346	-97.4845	35.6044	-0.289582
1147	-67.4208	-13.9439	-0.496501	-70.4827	-13.9127	-4.32239	22.9336	-13.1738	4.01877	-70.956	-13.4007	0.907152	-97.3724	35.8969	3.12209
1148	-71.5393	-13.9439	-6.89942	-70.8149	-13.9127	-0.876071	168.168	-13.1738	1.58895	-73.7494	-13.4007	-5.59755	-100.182	35.8969	-2.11618
1149	-68.0865	-13.9512	5.94337	-73.6824	-13.9177	-6.16311	-55	-9.17384	-4.65157	-73.8931	-13.4396	-2.50017	-98.3167	36.1942	-0.919981
1150	-65.6653	-13.9512	5.8928	-75.6613	-13.9177	-6.62742	-60.3632	-9.17384	-5.90032	-71.2832	-13.4396	2.83804	-97.4163	36.1942	2.93168
1151	-66.3999	-13.9348	0.428809	-76.5901	-13.942	-6.45417	-62.0386	-9.23182	3.54287	-71.7094	-13.4284	-1.12768	-99.0095	36.4895	0.491975
1152	-66.2128	-13.9348	2.08094	-67.1612	-13.942	13.2246	-67.2864	-9.23182	-3.48597	-71.9446	-13.4284	-1.04146	-98.7421	36.4895	-0.0434275
1153	-67.2291	-13.921	-0.268883	-67.6837	-13.9318	0.393895	-72.2328	-9.31633	-3.79102	-70.3252	-13.4307	2.49234	-99.1901	36.7879	-0.696112
1154	-66.5882	-13.921	2.71636	-68.1701	-13.9318	0.270671	-76.1221	-9.31633	-4.63406	-71.5964	-13.4307	-2.17239	-96.3623	36.7879	4.84703
1155	-69.6315	-13.9089	-4.4262	-65.7138	-13.9259	5.94469	-80.6671	-9.43449	-9.57872	-70.387	-13.4263	1.92828	-101.532	37.0849	-3.16729
1156	-70.121	-13.9089	-0.672286	-65.1709	-13.9259	2.99695	-73.8045	-9.43449	7.33904	-70.3344	-13.4263	0.440679	-98.8467	37.0849	-2.23424
1157	-72.4241	-13.9112	-4.58826	-66.8347	-13.908	-1.28879	-70.6853	-9.54102	7.94226	-72.107	-13.3988	-3.17659	-97.4145	37.3863	3.35588
1158	-72.6687	-13.9112	-2.08991	-67.7695	-13.908	-0.279256	-73.5747	-9.54102	-1.7498	-70.4091	-13.3988	2.55524	-100.726	37.3863	-1.74701
1159	-65.3389	-13.9237	12.8622	-68.1187	-13.9009	0.532798	-75.741	-9.6445	-2.52968	-70.9918	-13.3753	-0.81624	-97.4238	37.6915	1.79195
1160	-68.5413	-13.9237	-4.40079	-66.6419	-13.9009	4.0399	-74.7491	-9.6445	1.57648	-71.2881	-13.3753	-0.602354	-98.751	37.6915	2.50016
1161	-71.3642	-13.9194	-4.77949	-68.3871	-13.8895	-1.82755	-81.938	-9.7506	-13.7741	-70.0599	-13.3707	2.24177	-98.5198	37.9957	1.83837
